"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"454",0,-2.85979860725075,NA,-13.1897703141949,NA,NA,NA,8.70673839648532,-4.58543386347113,4.97418872784731,NA,6,-128.424100311837,268.880273934099,0,0.0381040386283776
"456",0,-2.82587376818387,3.27741498769954,-13.8321973146063,NA,NA,NA,9.76684752035662,-4.90973619783064,4.7278270855701,NA,7,-127.577975176479,269.198731101621,0.318457167522013,0.0324951774931293
"464",0,-2.71950597448365,3.88157461169242,-13.3964653305015,2.8912703819089,NA,NA,8.02231119772376,-4.60425453872937,4.45109095524572,NA,8,-126.875860786459,269.806746410517,0.926472476418894,0.023976736291152
"326",0,-2.82838229770422,NA,-12.2466172444494,NA,NA,NA,8.13260673483833,NA,4.91572738197883,NA,5,-129.995171743316,270.013244249992,1.13297031589315,0.0216246770653716
"462",0,-2.7786446157733,NA,-12.8680040467487,2.17148240939753,NA,NA,7.25100672525583,-4.31037965564571,4.7670596164679,NA,7,-128.001281625977,270.045344000617,1.16507006651892,0.0212803740956203
"453",0,NA,NA,-13.2271287693877,NA,NA,NA,9.38963771027781,-4.49006433928252,4.89915303477485,NA,5,-130.277920752538,270.578742268434,1.69846833433547,0.0162987123880131
"966",0,-3.43128716489553,NA,-13.4051530720578,NA,NA,NA,8.78959110136543,-4.60190399300524,4.86323431684242,-1.25785415443141,7,-128.279720729317,270.602222207297,1.72194827319794,0.0161084848205903
"328",0,-2.79681279108325,2.83239082890166,-12.6598468987981,NA,NA,NA,9.06215750115554,NA,4.73056361697954,NA,6,-129.336360504688,270.7047943198,1.82452038570096,0.0153031713455959
"455",0,NA,3.31625442010839,-13.8118501506598,NA,NA,NA,10.4055768752156,-4.81611507772308,4.63857178287717,NA,6,-129.399341689744,270.830756689911,1.95048275581263,0.0143690832126489
"968",0,-3.45461521585291,3.35093860907974,-14.1001919533114,NA,NA,NA,9.86743854197926,-4.9275229654011,4.58761366254919,-1.40015123447358,8,-127.398122047929,270.851268933459,1.9709949993603,0.014222465296246
