"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"454",0,-2.85979860723508,NA,-13.1897703141455,NA,NA,NA,8.70673839645777,-4.58543386216005,4.9741887278361,NA,7,-128.424100311837,270.890981372338,0,0.0374970214683223
"456",0,-2.82587376808574,3.2774149878344,-13.8321973140845,NA,NA,NA,9.76684752013472,-4.9097361921713,4.72782708540306,NA,8,-127.577975176479,271.210975190558,0.319993818220098,0.0319529527118713
"464",0,-2.87055183972418,4.7932266478679,-13.7150480976032,3.68416170436596,NA,NA,9.89782797832351,-4.60676997643844,4.3186630671962,NA,9,-126.847687156172,271.764181651793,0.87320027945475,0.0242316919855675
"326",0,-2.82838228551399,NA,-12.2466186548696,NA,NA,NA,8.13260686242569,NA,4.91572735540144,NA,6,-129.995171743316,272.022416797056,1.13143542471829,0.0212965223610517
"462",0,-2.7786446157707,NA,-12.8680040464512,2.17148240918211,NA,NA,7.25100672541269,-4.31037965460041,4.76705961645566,NA,8,-128.001281625977,272.057588089554,1.1666067172161,0.0209252830612286
"453",0,NA,NA,-13.227128769378,NA,NA,NA,9.38963771027139,-4.49006433900998,4.89915303477413,NA,6,-130.277920752538,272.5879148155,1.69693344316141,0.0160513792542764
"966",0,-3.43128716488534,NA,-13.405153072019,NA,NA,NA,8.78959110134308,-4.60190399191815,4.86323431683337,-1.25785415443444,8,-128.279720729316,272.614466296233,1.72348492389489,0.0158396935619552
"328",0,-2.79681278105937,2.83239086293124,-12.6598482972963,NA,NA,NA,9.06215761958328,NA,4.73056358482082,NA,7,-129.336360504688,272.715501758039,1.82452038570102,0.0150593838641519
"336",0,-2.90873127727754,4.71243331275828,-12.7896261823072,4.33727398196496,NA,NA,9.93572632111416,NA,4.2294021007952,NA,8,-128.385458034381,272.825940906362,1.9349595340243,0.0142503538117088
"455",0,NA,3.31625442018572,-13.8118501505103,NA,NA,NA,10.4055768751551,-4.81611507666555,4.63857178284077,NA,7,-129.399341689744,272.84146412815,1.95048275581223,0.0141401762411517
"968",0,-3.45461521577448,3.35093860918297,-14.1001919528678,NA,NA,NA,9.86743854179744,-4.9275229606829,4.58761366241623,-1.40015123445866,9,-127.398122047929,272.865051435308,1.97407006296976,0.013974391426938
"470",0,-2.86346339588007,NA,-13.3444913596984,NA,0.452694979032357,NA,8.40422726107318,-4.43302981528743,5.0151503592257,NA,8,-128.410582508203,272.876189854006,1.98520848166777,0.0138967814293151
"486",0,-2.85664668328341,NA,-13.2494231595565,NA,NA,0.464745869435077,8.79694329518846,-4.59100078005525,4.97343310236856,NA,8,-128.418303042436,272.891630922473,2.00064955013511,0.0137899039590198
"334",0,-2.77016039566322,NA,-12.0291415394277,2.44477926720806,NA,NA,6.54099988198296,NA,4.67921154873497,NA,7,-129.429255140236,272.901291029134,2.01030965679604,0.0137234585840058
"472",0,-2.83122592762828,3.29394930112002,-14.0313026203472,NA,0.537435081353381,NA,9.41281240806972,-4.72830324578992,4.78258026442929,NA,9,-127.558392844794,273.185593029037,2.29461165669881,0.0119049665948811
"463",0,NA,3.95988000299701,-13.3737875948809,3.16004247631926,NA,NA,8.45900304833486,-4.56626830429902,4.3230597601215,NA,8,-128.567192797208,273.189410432017,2.29842905967848,0.0118822652393526
"488",0,-2.82200081168544,3.28364350251231,-13.9222561718316,NA,NA,0.525293404808495,9.87543481387464,-4.91678698682776,4.73037597224669,NA,9,-127.57058274699,273.20997283343,2.3189914610922,0.0117607271349745
"976",0,-3.39047362278326,3.96622297533029,-13.6744392655268,2.96446072344895,NA,NA,8.07903743326769,-4.61785386895477,4.29976741662805,-1.51446868101523,10,-126.663492144859,273.411114308839,2.52013293650128,0.0106354741763803
"342",0,-2.86096514635648,NA,-13.1410254252947,NA,1.93329403345577,NA,6.93109254476834,NA,5.09701450310463,NA,7,-129.699668703254,273.442118155171,2.55113678283249,0.0104718751984488
"461",0,NA,NA,-12.9034230487799,2.42936837556181,NA,NA,7.7426536100707,-4.25666095707993,4.65539663794349,NA,7,-129.75247899653,273.547738741723,2.65675736938493,0.00993320134777233
"496",0,-2.87127978385066,4.96874995678765,-14.0255109177803,3.99279229556621,NA,1.75436265639147,10.3776777737576,-4.60847239300688,4.29631907044413,NA,10,-126.769149074541,273.622428168202,2.73144679586352,0.00956908992588032
"325",0,NA,NA,-12.3878446772415,NA,NA,NA,8.77359521680004,NA,4.85814835905934,NA,5,-131.812056630319,273.647014023997,2.75603265165847,0.00945217786143694
"974",0,-3.38485006311244,NA,-13.0927353979811,2.23086797997804,NA,NA,7.3000551760747,-4.32522726918017,4.64813982382225,-1.34542942457581,9,-127.835462362927,273.739732065303,2.84875069296447,0.00902398611272882
"480",0,-2.89314589308268,4.91506893713448,-13.9063533690591,3.72812703902779,0.439226322055463,NA,9.91759657572027,-4.46025441207463,4.35395932175743,NA,10,-126.83669368964,273.757517398401,2.86653602606299,0.00894409456421511
"838",0,-3.36221574793216,NA,-12.4218778621327,NA,NA,NA,8.1931037592971,NA,4.82170363884154,-1.15333676331099,7,-129.87396343196,273.790707612583,2.89972624024455,0.00879689116346454
"208",0,-2.95590083161856,6.16280129190125,-14.5648621439628,4.90219353193015,NA,NA,9.22665918486359,-4.71829728888275,NA,NA,8,-128.934169786436,273.923364410472,3.03238303813401,0.00823233739306041
"494",0,-2.76150804339635,NA,-13.0277686939017,2.32483880718144,NA,1.35879284231785,7.42119977495498,-4.30602775118062,4.75658944901087,NA,9,-127.952825448973,273.974458237395,3.08347686505704,0.00802469024712393
"358",0,-2.82625400267792,NA,-12.2830081695992,NA,NA,0.280426474591986,8.18802812643036,NA,4.91577761388003,NA,7,-129.993094188373,274.028969125408,3.13798775307009,0.00780892746327653
"344",0,-2.83536390607775,2.9504167414005,-13.6882142248124,NA,2.05374678371479,NA,7.81117719722323,NA,4.93574914835829,NA,8,-128.995837122043,274.046699081687,3.15571770934872,0.00774000743067006
"478",0,-2.77931904894379,NA,-12.9021610822292,2.15959974843651,0.0957760891642625,NA,7.1961866125871,-4.27812680506612,4.77653904557955,NA,9,-128.000697591453,274.070202522356,3.17922115001824,0.00764958139934405
"352",0,-2.96809537267215,5.1553200569683,-13.8269420823693,4.38116359017506,2.20979775726731,NA,9.5717405221736,NA,4.41540402121884,NA,9,-128.049044427271,274.166896193992,3.27591482165434,0.00728854612141918
"327",0,NA,2.88633747396791,-12.7716775791989,NA,NA,NA,9.68066676724425,NA,4.66876381144555,NA,6,-131.119054150059,274.270181610542,3.37920023820402,0.00692169985471072
"200",0,-2.80105046210463,3.82018090795834,-14.6816870363041,NA,NA,NA,7.42582237623019,-5.06915257040392,NA,NA,7,-130.127879951704,274.298540652072,3.40755927973368,0.00682424602501759
"965",0,NA,NA,-13.0399029702548,NA,NA,NA,9.23115181219648,-4.46665003086419,5.01201473151548,0.907174975096596,7,-130.159004373366,274.360789495395,3.46980812305708,0.0066151167108966
"333",0,NA,NA,-12.1703814637276,2.60171194746569,NA,NA,7.06741234141481,NA,4.58896801906497,NA,6,-131.176048904669,274.384171119762,3.49318974742363,0.00653823092817734
"335",0,NA,3.5755111953166,-12.4796748322322,3.27359767174613,NA,NA,7.74591291683751,NA,4.32679515283833,NA,7,-130.174607192474,274.39199513361,3.50101376127236,0.00651270328822115
"840",0,-3.39265653620452,2.90495354645009,-12.8774392088378,NA,NA,NA,9.13951816080356,NA,4.61236533401801,-1.29299689439809,8,-129.183700712817,274.422426263234,3.5314448908955,0.00641435890920665
"350",0,-2.78717363349414,NA,-12.7842863066825,2.27985768004568,1.65315372003649,NA,5.64082391542516,NA,4.83727025103752,NA,8,-129.215276180226,274.485577198051,3.59459582571333,0.00621498672782629
"198",0,-2.85779336635928,NA,-13.7360215786304,NA,NA,NA,6.00312325084971,-4.72228613040796,NA,NA,6,-131.24343489361,274.518943097644,3.62796172530551,0.00611216250675392
"848",0,-3.42869787601988,4.55729328429805,-12.8961000458732,4.13533201914245,NA,NA,9.41711557461643,NA,4.15250613296527,-1.23719333886149,9,-128.252355010486,274.573517360421,3.6825359880828,0.00594763408833942
"469",0,NA,NA,-13.3709970134193,NA,0.407099759239527,NA,9.10916400341118,-4.35806485438048,4.93416442478762,NA,7,-130.266572139239,274.57592502714,3.68494365480234,0.00594047843598287
"485",0,NA,NA,-13.2975110015034,NA,NA,0.584770144481768,9.49513389991004,-4.49706436124388,4.89825785430398,NA,7,-130.268870485133,274.58052171893,3.68954034659163,0.00592684083971726
